Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Per-Albin Hansson,13 december 1939,31 juli 1945,Socialdemokraterna
Justitieminister,,Karl Gustaf Westman,13 december 1939,30 augusti 1943,Bondeförbundet
Justitieminister,,Thorwald Bergquist,30 augusti 1943,31 juli 1945,Folkpartiet
Utrikesminister,,Christian Günther,13 december 1939,31 juli 1945,Partilös
Försvarsminister,,Per Edvin Sköld,13 december 1939,31 juli 1945,Socialdemokraterna
Socialminister,,Gustav Möller,13 december 1939,31 juli 1945,Socialdemokraterna
Kommunikationsminister,,Gustaf Andersson i Rasjön,13 december 1939,30 september 1944,Folkpartiet
Kommunikationsminister,,Fritiof Domö,30 september 1944,31 juli 1945,Högerpartiet
Finansminister,,Ernst Wigforss,13 december 1939,31 juli 1945,Socialdemokraterna
Ecklesiastikminister,,Gösta Bagge,13 december 1939,15 december 1944,Högerpartiet
Ecklesiastikminister,,Georg Andrén,15 december 1944,31 juli 1945,Högerpartiet
Jordbruksminister,,Axel Pehrsson-Bramstorp,13 december 1939,31 juli 1945,Bondeförbundet
Handelsminister,,Fritiof Domö,13 december 1939,7 mars 1941,Högerpartiet
Handelsminister,,Herman Eriksson,7 mars 1941,30 september 1944,Socialdemokraterna
Handelsminister,,Bertil Ohlin,30 september 1944,31 juli 1945,Folkpartiet
Folkhushållningsminister,,Herman Eriksson,13 december 1939,7 mars 1941,Socialdemokraterna
Folkhushållningsminister,,Axel Gjöres,7 mars 1941,31 juli 1945,Socialdemokraterna
Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd
Juristkonsult,,Nils Quensel,13 december 1939,11 oktober 1940,Partilös
Juristkonsult,,Edgar Rosander,11 oktober 1940,30 september 1944,Partilös
Juristkonsult,,Gunnar Danielson,30 september 1944,31 juli 1945,Partilös
Juristkonsult,,Thorwald Bergquist,13 december 1939,30 augusti 1943,Folkpartiet
Juristkonsult,,Nils Quensel,30 augusti 1943,31 juli 1945,Partilös
Bränsleminister,,Fritiof Domö,7 mars 1941,30 september 1944,Högerpartiet
Bränsleminister,,Axel Rubbestad,30 september 1944,31 juli 1945,Bondeförbundet
Frågor inom finans- och försvarsdep.,,Knut G. Ewerlöf,7 mars 1941,31 juli 1945,Högerpartiet
Civilförsvarsminister,,Axel Rubbestad,30 augusti 1943,30 september 1944,Bondeförbundet
Civilförsvars- och bitr. socialminister,,Tage Erlander,30 september 1944,31 juli 1945,Socialdemokraterna
